order_id;order_date;customer_id;product_name;product_category;quantity;sales
O0001;17/01/2026;C012;iPhone 16;Smartphone;1;1000.0
O0002;30/11/2025;C005;Bluetooth Headphones;Accessory;1;119.7
O0003;08/07/2024;C001;Dell XPS 15;Laptop;2;3332.0
O0004;15/08/2026;C004;ThinkPad X1;Laptop;1;1454.4
O0005;11/04/2026;C005;OnePlus 13;Smartphone;1;806.0
O0006;08/10/2025;C012;Galaxy S24;Smartphone;2;1656.0
O0007;15/06/2024;C010;Echo Dot 6;Smart Home;3;326.25
O0008;29/08/2024;C010;MacBook Air M4;Laptop;1;779.2
O0009;18/07/2025;C005;Surface Go 4;Tablet;1;587.2
O0010;01/04/2024;C007;HP Spectre x360;Laptop;1;801.6
O0011;22/10/2026;C004;ThinkPad X1;Laptop;1;1663.0
O0012;19/07/2025;C001;Surface Go 4;Tablet;1;1037.0
O0013;03/12/2025;C005;Galaxy S24;Smartphone;1;724.0
O0014;10/06/2024;C007;Echo Dot 6;Smart Home;1;177.0
O0015;22/09/2026;C010;Galaxy S24;Smartphone;1;653.8
O0016;26/03/2026;C010;ThinkPad X1;Laptop;1;1758.0
O0017;20/12/2025;C006;Bluetooth Headphones;Accessory;1;56.1
O0018;04/08/2024;C005;ThinkPad X1;Laptop;1;1148.0
O0019;14/01/2025;C004;ThinkPad X1;Laptop;1;905.25
O0020;15/01/2024;C002;OnePlus 13;Smartphone;1;918.0
O0021;09/10/2025;C004;Galaxy Tab S10;Tablet;3;1806.9
O0022;15/08/2025;C010;iPad Air 6;Tablet;1;672.8
O0023;18/08/2024;C010;Google Nest Hub 3;Smart Home;2;619.4
O0024;17/11/2026;C003;Google Nest Hub 3;Smart Home;2;370.0
O0025;07/12/2026;C010;ThinkPad X1;Laptop;1;882.0
O0026;26/12/2025;C001;Echo Dot 6;Smart Home;1;190.8
O0027;18/08/2026;C008;MacBook Air M4;Laptop;1;1696.0
O0028;20/05/2026;C005;Laptop Sleeve 15in;Accessory;1;102.2
O0029;25/07/2024;C004;Bluetooth Headphones;Accessory;2;258.4
O0030;10/06/2026;C008;Ring Doorbell Pro;Smart Home;1;263.0
O0031;17/07/2025;C007;USB-C Hub 7in1;Accessory;1;159.0
O0032;29/04/2025;C002;Google Nest Hub 3;Smart Home;1;352.0
O0033;18/01/2026;C001;Ring Doorbell Pro;Smart Home;1;148.0
O0034;24/06/2025;C012;Google Nest Hub 3;Smart Home;2;226.0
O0035;17/11/2026;C011;Google Nest Hub 3;Smart Home;1;289.85
O0036;08/07/2024;C004;Wireless Mouse Pro;Accessory;1;67.0
O0037;10/12/2025;C008;Dell XPS 15;Laptop;4;4416.0
O0038;10/10/2025;C012;OnePlus 13;Smartphone;2;1160.0
O0039;14/11/2025;C002;iPad Air 6;Tablet;1;889.1
O0040;09/08/2026;C003;Ring Doorbell Pro;Smart Home;1;115.9
O0041;07/08/2024;C012;Echo Dot 6;Smart Home;1;303.05
O0042;19/01/2025;C001;Galaxy S24;Smartphone;1;710.0
O0043;12/12/2026;C001;Dell XPS 15;Laptop;1;1245.0
O0044;03/09/2024;C003;Galaxy S24;Smartphone;1;1009.6
O0045;21/07/2024;C011;iPhone 16;Smartphone;1;782.0
O0046;06/10/2024;C005;Echo Dot 6;Smart Home;1;174.0
O0047;16/07/2024;C012;USB-C Hub 7in1;Accessory;3;396.0
O0048;05/07/2024;C003;HP Spectre x360;Laptop;1;1799.0
O0049;21/10/2025;C001;ThinkPad X1;Laptop;1;1259.0
O0050;26/05/2024;C001;Laptop Sleeve 15in;Accessory;1;146.0
O0051;17/04/2025;C008;iPad Air 6;Tablet;4;3980.0
O0052;19/09/2024;C010;Dell XPS 15;Laptop;1;1003.0
O0053;30/05/2026;C011;Pixel 9 Pro;Smartphone;1;794.0
O0054;26/11/2026;C012;Dell XPS 15;Laptop;4;6777.6
O0055;11/10/2026;C012;Surface Go 4;Tablet;3;2898.0
O0056;19/09/2025;C002;USB-C Hub 7in1;Accessory;2;214.0
O0057;01/06/2024;C003;Bluetooth Headphones;Accessory;1;165.3
O0058;27/05/2026;C002;Laptop Sleeve 15in;Accessory;1;75.0
O0059;01/04/2026;C003;HP Spectre x360;Laptop;2;2759.4
O0060;14/08/2026;C007;Galaxy Tab S10;Tablet;3;1050.0
O0061;09/06/2024;C001;iPhone 16;Smartphone;1;1002.0
O0062;18/11/2025;C010;HP Spectre x360;Laptop;1;1928.0
O0063;14/04/2025;C008;iPad Air 6;Tablet;1;765.0
O0064;17/08/2024;C010;Laptop Sleeve 15in;Accessory;2;212.0
O0065;28/05/2026;C010;ThinkPad X1;Laptop;1;1581.0
O0066;28/03/2025;C010;Dell XPS 15;Laptop;1;1433.0
O0067;26/03/2026;C002;Dell XPS 15;Laptop;1;1737.0
O0068;01/06/2025;C003;iPad Air 6;Tablet;1;812.0
O0069;26/11/2026;C009;Pixel 9 Pro;Smartphone;1;1244.0
O0070;11/05/2025;C007;Google Nest Hub 3;Smart Home;1;312.0
O0071;19/09/2026;C004;Dell XPS 15;Laptop;2;2561.4
O0072;09/09/2024;C010;Galaxy Tab S10;Tablet;1;645.0
O0073;07/05/2024;C005;iPhone 16;Smartphone;1;548.25
O0074;16/11/2025;C002;USB-C Hub 7in1;Accessory;1;43.2
O0075;03/05/2026;C011;OnePlus 13;Smartphone;1;677.0
O0076;03/06/2024;C008;Dell XPS 15;Laptop;1;1996.0
O0077;02/09/2024;C004;ThinkPad X1;Laptop;1;1608.35
O0078;28/01/2026;C009;Galaxy S24;Smartphone;1;848.0
O0079;16/11/2024;C005;Echo Dot 6;Smart Home;1;94.5
O0080;03/02/2025;C009;Wireless Mouse Pro;Accessory;1;135.0
O0081;15/04/2025;C004;iPad Air 6;Tablet;4;2052.0
O0082;13/04/2026;C010;ThinkPad X1;Laptop;1;1138.0
O0083;03/05/2026;C005;Galaxy S24;Smartphone;2;1310.0
O0084;31/10/2024;C009;iPhone 16;Smartphone;1;949.0
O0085;17/04/2026;C008;iPad Air 6;Tablet;2;812.0
O0086;29/09/2026;C003;Bluetooth Headphones;Accessory;2;154.0
O0087;12/02/2026;C001;Wireless Mouse Pro;Accessory;1;62.0
O0088;02/06/2026;C003;Echo Dot 6;Smart Home;1;126.0
O0089;27/09/2025;C004;Ring Doorbell Pro;Smart Home;1;105.0
O0090;18/10/2025;C002;iPhone 16;Smartphone;1;856.0
O0091;17/12/2026;C001;Galaxy S24;Smartphone;3;1638.9
O0092;10/01/2026;C007;USB-C Hub 7in1;Accessory;2;254.0
O0093;01/03/2026;C008;Galaxy S24;Smartphone;4;2385.6
O0094;09/10/2026;C007;Galaxy Tab S10;Tablet;1;693.7
O0095;25/09/2025;C005;HP Spectre x360;Laptop;2;3236.0
O0096;12/03/2026;C012;iPhone 16;Smartphone;3;2706.0
O0097;13/07/2025;C001;MacBook Air M4;Laptop;1;1538.0
O0098;04/12/2025;C007;Google Nest Hub 3;Smart Home;1;114.75
O0099;02/06/2024;C007;Bluetooth Headphones;Accessory;2;56.0
O0100;23/09/2026;C009;Bluetooth Headphones;Accessory;1;33.6
